id_registro,id_maquina,planta,tipo_maquina,turno,temperatura_c,vibracion_mm_s,presion_bar,horas_operacion,antiguedad_anios,dias_desde_mantenimiento,produccion_unidades,tasa_defectos_pct,consumo_energia_kwh,falla_maquina,planta_cod,tipo_maquina_cod,turno_cod,cluster,cluster_nombre,probabilidad_falla,prediccion_falla
MAN-0001,MQ-097,Lima,Empacadora,Mañana,71.8,5.25,7.41,2931,0.2,194,917,4.17,626.15,1,1,1,0,3,Críticas,0.6216640503875878,1
MAN-0002,MQ-175,Arequipa,Prensa,Mañana,88.1,5.84,8.29,3715,3.2,174,825,1.3,581.71,1,0,3,0,3,Críticas,0.8927584414183339,1
MAN-0003,MQ-164,Arequipa,Prensa,Mañana,86.5,2.28,7.71,11531,5.5,82,875,2.58,404.37,0,0,3,0,2,Estándar,0.3312129443123982,0
MAN-0004,MQ-081,Arequipa,Empacadora,Mañana,72.4,5.38,7.17,6132,3.9,208,789,2.95,482.09,0,0,1,0,2,Estándar,0.7450172076850387,1
MAN-0005,MQ-010,Trujillo,Compresor,Noche,82.5,3.23,5.94,7705,3.5,40,517,3.83,669.13,0,2,0,1,1,Alerta,0.24290328773131598,0
MAN-0006,MQ-136,Lima,Prensa,Noche,99.4,4.28,8.7,4247,4.4,122,721,6.2,950.39,1,1,3,1,3,Críticas,0.9001829692056704,1
MAN-0007,MQ-015,Trujillo,Inyectora,Mañana,53.3,3.27,5.4,2536,2.7,9,795,0.98,612.49,0,2,2,0,0,Eficientes,0.019114668642150535,0
MAN-0008,MQ-173,Lima,Compresor,Mañana,67.0,5.19,6.49,10747,6.7,230,783,0.61,444.58,1,1,0,0,2,Estándar,0.7005162549142916,1
MAN-0009,MQ-127,Trujillo,Inyectora,Tarde,79.5,3.57,6.96,8873,6.2,112,983,6.3,714.33,0,2,2,2,1,Alerta,0.5851361305055774,1
MAN-0010,MQ-093,Arequipa,Torno CNC,Noche,89.9,3.81,7.78,2775,3.4,101,883,2.93,575.44,1,0,4,1,3,Críticas,0.6849790018670945,1
MAN-0011,MQ-148,Arequipa,Torno CNC,Mañana,74.8,3.89,8.0,11127,8.3,128,734,2.84,581.15,0,0,4,0,2,Estándar,0.5180590275127831,1
MAN-0012,MQ-015,Trujillo,Empacadora,Tarde,71.8,2.86,6.36,141,0.8,17,476,0.71,465.49,0,2,1,2,0,Eficientes,0.11927603691756984,0
MAN-0013,MQ-118,Trujillo,Prensa,Tarde,81.2,3.79,7.34,11523,6.2,32,1076,3.44,524.75,0,2,3,2,1,Alerta,0.38741001758412313,0
MAN-0014,MQ-094,Lima,Prensa,Tarde,58.0,0.5,7.22,4638,4.7,179,851,4.19,493.7,0,1,3,2,0,Eficientes,0.1524829471314675,0
MAN-0015,MQ-133,Lima,Torno CNC,Mañana,75.0,1.29,7.48,5007,0.2,92,782,4.42,682.89,0,1,4,0,0,Eficientes,0.08475775313578669,0
MAN-0016,MQ-001,Lima,Compresor,Mañana,90.1,8.27,6.95,6787,3.7,240,864,6.44,705.81,1,1,0,0,3,Críticas,0.9793011926937708,1
MAN-0017,MQ-015,Arequipa,Torno CNC,Noche,87.4,4.34,6.16,511,0.9,185,1275,4.48,563.91,0,0,4,1,3,Críticas,0.7630549916799667,1
MAN-0018,MQ-026,Trujillo,Prensa,Tarde,92.7,5.78,5.69,9506,6.6,130,613,4.68,787.7,1,2,3,2,1,Alerta,0.8853001386541961,1
MAN-0019,MQ-074,Arequipa,Torno CNC,Tarde,57.7,3.87,7.51,7615,5.1,161,994,2.84,438.22,1,0,4,2,2,Estándar,0.361810165733254,0
MAN-0020,MQ-052,Lima,Empacadora,Mañana,86.1,4.1,8.0,11490,7.6,104,554,3.73,597.77,1,1,1,0,1,Alerta,0.6781352273474036,1
MAN-0021,MQ-042,Arequipa,Inyectora,Mañana,74.8,5.15,7.04,435,1.3,39,921,3.34,464.55,1,0,2,0,0,Eficientes,0.293001054867697,0
MAN-0022,MQ-040,Lima,Inyectora,Noche,83.2,6.48,6.17,722,0.2,202,1075,3.45,649.71,1,1,2,1,3,Críticas,0.8744773171608452,1
