id_maquina,tipo_maquina,planta,turno,probabilidad_falla,cluster,cluster_nombre,temperatura_c,vibracion_mm_s,presion_bar,dias_desde_mantenimiento,antiguedad_anios,tasa_defectos_pct,horas_operacion,falla_maquina
MQ-143,Prensa,Arequipa,Tarde,0.9863344551521981,1,Alerta,103.6,7.9,5.77,186,6.1,6.97,11335,1
MQ-109,Inyectora,Lima,Mañana,0.9839106047680204,1,Alerta,88.2,8.12,8.55,229,6.7,3.43,7579,1
MQ-001,Compresor,Lima,Mañana,0.9793011926937708,3,Críticas,90.1,8.27,6.95,240,3.7,6.44,6787,1
MQ-050,Inyectora,Trujillo,Tarde,0.9779032677857497,3,Críticas,90.4,7.85,6.24,211,5.0,4.84,6682,1
MQ-110,Empacadora,Lima,Noche,0.976630201816963,3,Críticas,93.4,6.81,7.46,203,5.4,2.62,3086,1
MQ-116,Empacadora,Trujillo,Noche,0.975417207525709,1,Alerta,91.5,6.33,7.1,237,6.4,6.01,6987,1
MQ-151,Inyectora,Trujillo,Noche,0.9712006474117211,1,Alerta,84.2,7.87,7.8,196,7.3,3.45,7705,1
MQ-122,Empacadora,Arequipa,Noche,0.9663504913743739,1,Alerta,93.8,5.92,7.0,237,5.2,1.96,9248,0
MQ-001,Inyectora,Trujillo,Mañana,0.96554302457426,1,Alerta,73.3,8.96,8.18,233,7.2,5.43,10114,1
MQ-103,Inyectora,Lima,Tarde,0.9654658331747364,1,Alerta,88.3,6.1,7.56,207,7.4,6.09,10871,1
MQ-128,Compresor,Arequipa,Noche,0.964173179003482,3,Críticas,88.8,7.41,7.87,161,3.5,5.21,1355,1
MQ-146,Inyectora,Trujillo,Noche,0.963816542525263,3,Críticas,90.1,6.87,7.31,220,2.6,2.49,2161,1
MQ-030,Prensa,Arequipa,Mañana,0.9633801340734499,1,Alerta,94.0,7.49,5.52,226,6.1,5.35,10377,0
MQ-162,Prensa,Arequipa,Noche,0.9552964206049596,3,Críticas,92.0,5.93,8.16,186,6.1,4.62,7795,1
MQ-055,Empacadora,Lima,Noche,0.9529276432279628,3,Críticas,82.5,9.4,6.99,150,4.0,3.04,7541,0
MQ-004,Inyectora,Arequipa,Mañana,0.9527878626842315,3,Críticas,97.5,6.36,6.78,200,3.1,5.62,4158,1
MQ-141,Empacadora,Lima,Tarde,0.9523832316925557,2,Estándar,69.4,7.77,6.22,237,9.1,3.68,11387,0
MQ-114,Compresor,Lima,Tarde,0.9480655180043593,3,Críticas,81.5,6.4,6.77,232,3.6,1.76,5029,0
MQ-089,Compresor,Arequipa,Noche,0.9461563027970482,3,Críticas,88.2,5.82,5.08,236,5.6,2.64,3718,1
MQ-064,Prensa,Lima,Noche,0.9431215316213497,1,Alerta,87.4,5.79,9.96,146,7.1,3.25,6645,1
MQ-035,Inyectora,Lima,Tarde,0.9411550320520528,3,Críticas,88.2,5.77,6.96,209,1.6,3.49,220,0
MQ-147,Prensa,Arequipa,Noche,0.9400394461449195,3,Críticas,81.4,7.5,6.93,238,0.2,2.36,1444,1
MQ-078,Compresor,Arequipa,Tarde,0.9396966231562098,3,Críticas,96.3,5.25,6.95,182,0.2,3.65,207,1
MQ-143,Prensa,Arequipa,Tarde,0.9387297294712343,3,Críticas,82.4,8.21,7.19,145,1.8,3.42,798,1
MQ-144,Inyectora,Trujillo,Tarde,0.9377291799526383,3,Críticas,90.2,6.53,6.51,145,5.4,2.55,3961,1
MQ-117,Compresor,Trujillo,Tarde,0.9363266130480509,3,Críticas,87.8,5.07,7.76,209,3.0,3.16,4793,1
MQ-099,Prensa,Lima,Tarde,0.9312480181619317,3,Críticas,86.8,6.57,6.42,182,3.8,5.11,5372,1
MQ-077,Torno CNC,Arequipa,Tarde,0.9289865070415808,3,Críticas,66.3,7.74,6.19,236,5.9,4.42,2837,1
MQ-165,Prensa,Lima,Mañana,0.9246023160067396,3,Críticas,79.1,6.84,7.48,221,5.6,4.42,5547,1
MQ-131,Prensa,Trujillo,Tarde,0.923541662905037,1,Alerta,76.4,6.7,5.9,230,7.8,1.66,11057,1
MQ-102,Compresor,Arequipa,Tarde,0.921354201040083,1,Alerta,76.1,7.39,7.86,109,9.6,1.7,10130,0
MQ-150,Inyectora,Trujillo,Mañana,0.9178320531548593,3,Críticas,91.8,7.0,6.55,151,4.8,1.98,4356,1
MQ-028,Torno CNC,Lima,Tarde,0.9169568328433588,3,Críticas,87.1,6.49,5.65,232,1.5,3.81,7579,0
MQ-087,Empacadora,Lima,Noche,0.9061223814592142,1,Alerta,89.7,7.18,6.57,87,8.4,3.14,9286,1
MQ-081,Inyectora,Arequipa,Noche,0.9056706668913114,3,Críticas,77.0,7.42,7.07,190,4.3,4.11,7342,0
MQ-142,Empacadora,Arequipa,Tarde,0.9023547854124366,2,Estándar,75.7,5.61,8.41,202,4.9,2.93,8008,1
MQ-079,Prensa,Arequipa,Mañana,0.9009732630068653,3,Críticas,80.7,5.76,8.33,235,4.4,3.54,8214,1
MQ-136,Prensa,Lima,Noche,0.9001829692056704,3,Críticas,99.4,4.28,8.7,122,4.4,6.2,4247,1
MQ-160,Prensa,Lima,Tarde,0.8994610285707583,3,Críticas,86.5,5.76,8.25,148,2.5,3.47,3079,1
MQ-054,Empacadora,Trujillo,Tarde,0.8990068318302802,0,Eficientes,80.0,4.53,7.56,237,3.0,3.76,3585,1
MQ-100,Torno CNC,Trujillo,Tarde,0.8985657242756397,3,Críticas,91.8,5.05,7.84,138,4.6,2.98,3907,1
MQ-129,Torno CNC,Lima,Noche,0.8979937939309898,2,Estándar,77.5,5.73,8.71,238,4.8,3.04,11764,0
MQ-130,Prensa,Trujillo,Mañana,0.8972762744832153,1,Alerta,87.7,7.13,6.5,148,6.8,3.78,8292,1
MQ-076,Torno CNC,Lima,Noche,0.8971894749445399,3,Críticas,91.2,5.17,5.16,222,3.1,6.02,2087,1
MQ-158,Prensa,Trujillo,Mañana,0.8970983582864428,1,Alerta,88.4,4.58,7.03,226,8.0,5.76,11653,0
MQ-145,Inyectora,Trujillo,Tarde,0.8969319442494389,3,Críticas,68.6,7.0,7.29,218,4.5,4.17,6365,1
MQ-173,Inyectora,Trujillo,Tarde,0.8943360581275323,1,Alerta,93.7,4.32,7.16,160,5.3,4.18,7542,1
MQ-032,Empacadora,Lima,Noche,0.8928213418378281,1,Alerta,77.2,5.73,7.84,211,6.0,3.71,9331,1
MQ-175,Prensa,Arequipa,Mañana,0.8927584414183339,3,Críticas,88.1,5.84,8.29,174,3.2,1.3,3715,1
MQ-068,Empacadora,Trujillo,Tarde,0.8924376676347033,3,Críticas,81.9,4.56,7.69,215,3.3,3.58,3707,1
MQ-069,Empacadora,Lima,Tarde,0.8924042990615947,2,Estándar,76.3,5.09,6.68,225,7.6,2.67,10345,1
MQ-078,Empacadora,Trujillo,Noche,0.8917578117349381,1,Alerta,93.8,4.24,6.63,186,7.1,4.68,11674,1
MQ-097,Prensa,Trujillo,Tarde,0.8880615948367913,1,Alerta,102.6,2.39,7.94,146,7.7,1.56,9926,1
MQ-049,Torno CNC,Arequipa,Tarde,0.8868473571082872,3,Críticas,84.4,4.42,7.46,236,0.2,5.67,539,1
MQ-100,Compresor,Lima,Mañana,0.8861100247318224,1,Alerta,86.6,4.75,6.61,225,6.9,4.5,11073,1
MQ-026,Prensa,Trujillo,Tarde,0.8853001386541961,1,Alerta,92.7,5.78,5.69,130,6.6,4.68,9506,1
MQ-058,Empacadora,Lima,Noche,0.8839181289013973,1,Alerta,83.5,4.14,8.04,194,6.6,4.97,5817,1
MQ-175,Empacadora,Arequipa,Mañana,0.883866440838507,1,Alerta,91.6,7.5,6.48,94,5.6,5.04,8789,1
MQ-076,Compresor,Arequipa,Noche,0.8833909800929852,3,Críticas,78.3,5.9,6.81,197,5.0,3.03,5529,1
MQ-086,Torno CNC,Arequipa,Mañana,0.8830521683771249,3,Críticas,91.3,5.73,5.4,227,2.3,5.18,4870,1
MQ-078,Inyectora,Lima,Tarde,0.8812397736202389,3,Críticas,82.3,7.43,3.27,187,5.0,3.37,7974,1
MQ-087,Compresor,Trujillo,Noche,0.8801814560701489,3,Críticas,84.2,6.43,4.17,223,1.4,3.04,853,1
MQ-053,Empacadora,Lima,Tarde,0.8782589378159181,2,Estándar,73.9,5.59,6.66,226,4.7,1.07,5739,1
MQ-011,Prensa,Trujillo,Noche,0.8770673117832486,3,Críticas,87.9,5.62,6.88,198,3.1,3.38,7876,1
MQ-025,Inyectora,Arequipa,Noche,0.8770636797709777,3,Críticas,76.7,5.96,9.0,185,3.8,1.45,5715,1
MQ-009,Empacadora,Arequipa,Noche,0.8765953052354264,1,Alerta,91.7,5.77,6.24,107,7.5,8.23,9100,1
MQ-115,Torno CNC,Trujillo,Tarde,0.8751607029118046,1,Alerta,69.3,7.33,7.51,171,7.2,5.2,10702,1
MQ-040,Inyectora,Lima,Noche,0.8744773171608452,3,Críticas,83.2,6.48,6.17,202,0.2,3.45,722,1
MQ-141,Inyectora,Trujillo,Tarde,0.8713250871945382,3,Críticas,84.1,6.59,6.01,166,0.8,3.32,1141,0
MQ-113,Inyectora,Trujillo,Tarde,0.8712564526366494,3,Críticas,73.6,5.89,8.02,180,4.3,5.59,3825,1
MQ-095,Prensa,Arequipa,Mañana,0.870450658070922,1,Alerta,85.0,5.6,5.61,200,9.0,4.65,11505,1
MQ-147,Compresor,Lima,Tarde,0.8696382661313916,3,Críticas,96.8,5.66,6.04,69,4.6,6.9,5152,0
MQ-131,Prensa,Arequipa,Noche,0.8694573350646506,1,Alerta,82.9,6.62,6.65,150,6.0,2.17,8088,0
MQ-099,Prensa,Arequipa,Noche,0.8684130310987058,3,Críticas,82.5,6.39,8.0,161,3.8,2.11,8058,1
MQ-002,Empacadora,Arequipa,Noche,0.866013314341811,3,Críticas,70.0,6.93,6.47,234,2.7,1.71,4041,1
MQ-142,Torno CNC,Trujillo,Tarde,0.8657355589949116,1,Alerta,87.4,4.0,5.37,215,8.4,4.27,11584,0
MQ-088,Torno CNC,Trujillo,Tarde,0.8653494198438907,1,Alerta,82.2,6.63,4.1,186,6.7,3.11,9250,0
MQ-078,Compresor,Lima,Mañana,0.8617345730713101,3,Críticas,82.5,6.38,6.52,166,5.2,4.36,5565,0
MQ-076,Torno CNC,Trujillo,Tarde,0.8613446729340477,1,Alerta,87.0,4.59,8.54,119,7.6,3.44,7855,1
MQ-031,Compresor,Trujillo,Noche,0.8580216654456582,1,Alerta,98.6,5.71,4.18,121,5.8,3.65,8554,1
MQ-099,Empacadora,Arequipa,Noche,0.8571015056907502,3,Críticas,74.7,6.8,6.9,197,1.2,3.28,1621,1
MQ-066,Compresor,Trujillo,Noche,0.8553756269418399,3,Críticas,94.0,4.6,5.65,180,1.9,5.09,2644,0
MQ-091,Torno CNC,Trujillo,Noche,0.8549046860610655,1,Alerta,95.6,3.61,4.49,227,6.6,3.05,8629,1
MQ-030,Empacadora,Lima,Mañana,0.8522865123648656,3,Críticas,75.5,7.28,7.19,182,2.2,3.86,2365,0
MQ-165,Inyectora,Arequipa,Noche,0.851090536364346,1,Alerta,80.2,7.57,7.2,54,9.7,5.28,9792,1
MQ-018,Torno CNC,Arequipa,Mañana,0.850165300295493,3,Críticas,84.1,7.45,8.12,128,3.0,2.89,7209,1
MQ-070,Compresor,Trujillo,Noche,0.850036150348669,2,Estándar,64.1,5.95,8.02,223,7.9,2.65,10088,0
MQ-017,Torno CNC,Trujillo,Mañana,0.8488934997974814,3,Críticas,81.8,5.54,7.72,213,2.2,3.83,1422,1
MQ-005,Empacadora,Arequipa,Noche,0.8485801865580401,3,Críticas,75.9,6.18,6.3,222,2.2,3.21,4579,1
MQ-169,Empacadora,Arequipa,Tarde,0.8472423180229824,2,Estándar,74.2,6.32,5.59,205,5.2,3.91,11252,0
MQ-142,Torno CNC,Arequipa,Noche,0.846647258270724,3,Críticas,76.0,7.46,6.81,145,4.9,5.02,5709,0
MQ-119,Compresor,Lima,Tarde,0.8462591232895819,3,Críticas,76.8,6.01,5.93,194,1.6,5.06,2663,1
MQ-052,Torno CNC,Lima,Tarde,0.8434921899314857,3,Críticas,70.0,7.51,5.73,191,4.4,4.71,7002,1
MQ-006,Empacadora,Lima,Tarde,0.8426877530573679,3,Críticas,65.5,6.14,7.23,216,3.8,2.94,3148,1
MQ-076,Torno CNC,Lima,Tarde,0.8409674778715187,3,Críticas,76.5,4.95,7.2,239,0.6,2.3,700,0
MQ-112,Torno CNC,Trujillo,Noche,0.8401907890764764,2,Estándar,79.0,5.61,5.23,240,6.3,0.1,9674,1
MQ-050,Prensa,Trujillo,Mañana,0.8399443938331601,2,Estándar,83.0,4.76,7.82,223,5.7,1.5,10929,1
MQ-082,Prensa,Trujillo,Tarde,0.8388611254784301,2,Estándar,68.4,4.49,7.34,221,10.0,3.95,9894,1
MQ-056,Compresor,Trujillo,Tarde,0.8368095548778022,3,Críticas,78.0,3.78,7.15,214,4.6,2.3,2805,1
MQ-089,Compresor,Arequipa,Tarde,0.8365694856384759,3,Críticas,80.3,7.07,6.41,90,2.5,5.78,529,1
MQ-126,Compresor,Lima,Tarde,0.8363818264917315,1,Alerta,78.7,6.5,6.18,118,6.4,4.46,8286,1
MQ-007,Compresor,Trujillo,Noche,0.8327066096260767,1,Alerta,85.6,5.36,7.58,151,4.3,3.91,9929,1
MQ-174,Compresor,Arequipa,Mañana,0.8323548794116252,2,Estándar,79.4,4.53,7.94,201,7.0,2.23,9449,0
MQ-079,Torno CNC,Trujillo,Tarde,0.8320078389443829,3,Críticas,89.0,3.66,6.48,218,1.8,3.02,3599,1
MQ-135,Prensa,Lima,Noche,0.8313917749611222,0,Eficientes,74.9,4.44,9.37,220,2.1,0.1,553,1
MQ-082,Empacadora,Lima,Tarde,0.8304880148192224,2,Estándar,76.4,3.34,7.19,238,5.7,2.51,6136,1
MQ-100,Inyectora,Trujillo,Tarde,0.8293400303583697,2,Estándar,67.6,5.81,6.57,232,4.7,1.58,5977,1
MQ-112,Torno CNC,Trujillo,Noche,0.8277652828123198,3,Críticas,79.4,6.6,6.45,166,3.0,2.84,2023,1
MQ-040,Torno CNC,Trujillo,Tarde,0.8274797310055645,1,Alerta,88.4,4.29,7.66,150,4.9,2.92,7359,1
MQ-011,Empacadora,Arequipa,Noche,0.8274122999227368,2,Estándar,78.3,3.58,7.19,232,7.1,2.71,8876,1
MQ-038,Torno CNC,Lima,Noche,0.826637295225379,1,Alerta,88.5,4.93,6.77,133,8.2,2.44,9348,1
MQ-027,Torno CNC,Arequipa,Noche,0.8264134771371777,3,Críticas,81.1,6.65,5.89,197,1.1,1.43,4139,1
MQ-122,Prensa,Arequipa,Noche,0.8246137617127398,3,Críticas,86.5,4.15,5.34,225,3.9,5.81,4910,0
MQ-059,Inyectora,Lima,Noche,0.8245452089360564,3,Críticas,78.3,5.61,8.32,173,3.4,2.03,6344,0
MQ-108,Inyectora,Arequipa,Tarde,0.8243213379686966,1,Alerta,75.8,9.28,4.63,66,6.0,3.45,7550,1
MQ-108,Compresor,Trujillo,Noche,0.8243110142626338,1,Alerta,86.3,4.77,9.01,107,5.2,3.1,6474,1
MQ-049,Torno CNC,Lima,Mañana,0.8234322860502507,3,Críticas,73.2,7.45,6.55,211,3.1,3.07,6677,1
MQ-149,Inyectora,Trujillo,Mañana,0.8230571693762153,1,Alerta,67.2,7.87,8.12,138,9.3,1.42,11794,1
MQ-133,Inyectora,Arequipa,Mañana,0.8222394703169555,2,Estándar,79.4,4.71,7.57,209,6.9,1.16,9323,1
MQ-079,Empacadora,Arequipa,Mañana,0.8215582680846054,2,Estándar,64.1,7.18,7.81,186,7.8,3.15,9556,1
MQ-125,Empacadora,Arequipa,Noche,0.8206820984812859,3,Críticas,97.6,5.69,4.17,93,4.1,4.67,2640,1
MQ-147,Compresor,Lima,Tarde,0.8189614655145678,2,Estándar,68.3,3.76,7.88,200,11.0,2.08,10863,0
MQ-123,Prensa,Arequipa,Tarde,0.8189158045328444,3,Críticas,85.0,7.92,6.49,58,3.8,4.45,8943,1
MQ-151,Torno CNC,Lima,Tarde,0.817517743478876,3,Críticas,88.6,6.34,7.9,69,1.3,4.45,1275,1
MQ-101,Torno CNC,Lima,Tarde,0.8172362212256848,3,Críticas,92.1,3.95,6.13,167,2.3,2.93,1088,1
MQ-174,Compresor,Lima,Tarde,0.8162198644992242,2,Estándar,71.6,5.17,6.96,199,4.6,3.6,6161,0
MQ-138,Compresor,Arequipa,Noche,0.8156032790065992,1,Alerta,76.0,6.5,5.21,186,6.1,2.29,10773,1
MQ-089,Empacadora,Lima,Mañana,0.8153859446638715,1,Alerta,87.4,5.44,6.52,150,6.9,2.73,10864,0
MQ-173,Inyectora,Arequipa,Mañana,0.8133935112833404,3,Críticas,88.1,5.14,6.8,200,2.3,3.97,8629,1
MQ-033,Empacadora,Lima,Mañana,0.8112384184570043,1,Alerta,90.8,6.0,6.15,123,4.9,3.51,7883,1
MQ-077,Torno CNC,Lima,Mañana,0.8106961600509557,1,Alerta,82.6,4.58,8.04,170,7.2,3.77,6163,1
MQ-106,Inyectora,Lima,Mañana,0.8076648360430579,3,Críticas,78.7,5.74,6.88,202,3.0,3.75,3934,1
MQ-019,Compresor,Lima,Tarde,0.8070802906908056,1,Alerta,74.6,7.25,5.96,89,7.8,6.27,9572,1
MQ-042,Compresor,Lima,Noche,0.8069129616115254,3,Críticas,91.0,6.71,6.07,67,3.6,6.06,6275,1
MQ-071,Inyectora,Arequipa,Noche,0.805798290725865,2,Estándar,93.5,2.21,7.02,212,4.7,1.08,8109,1
MQ-004,Torno CNC,Lima,Tarde,0.8057905652054328,3,Críticas,85.2,5.61,7.79,92,3.3,3.16,1590,1
MQ-121,Torno CNC,Arequipa,Mañana,0.8055070933375021,2,Estándar,74.4,5.51,6.68,228,7.1,0.1,9223,1
MQ-051,Empacadora,Lima,Tarde,0.8054268232638465,1,Alerta,81.7,5.56,6.75,105,6.1,1.29,4882,1
MQ-116,Compresor,Lima,Noche,0.8034964423364558,1,Alerta,86.2,4.66,7.37,151,3.7,3.63,7103,0
MQ-013,Prensa,Arequipa,Tarde,0.800914529307898,2,Estándar,66.7,4.94,7.57,219,5.5,4.59,5909,1
MQ-089,Inyectora,Arequipa,Tarde,0.8006923487197642,3,Críticas,74.4,4.27,6.95,209,3.5,3.94,1351,0
MQ-098,Empacadora,Trujillo,Tarde,0.7999919307748156,1,Alerta,95.3,4.42,6.93,65,4.9,3.28,3861,1
MQ-133,Torno CNC,Trujillo,Tarde,0.7996156164897145,3,Críticas,79.1,4.12,6.78,220,2.9,4.23,3377,1
MQ-029,Compresor,Arequipa,Noche,0.7995649249113422,1,Alerta,87.6,5.47,6.14,129,4.6,6.19,9343,1
MQ-019,Empacadora,Trujillo,Mañana,0.7982653576415734,1,Alerta,73.7,6.7,7.52,158,7.2,2.44,11546,1
MQ-032,Prensa,Arequipa,Mañana,0.7959977458669236,3,Críticas,74.4,7.04,7.31,182,1.1,0.43,666,1
MQ-071,Torno CNC,Arequipa,Noche,0.7952156067580708,2,Estándar,73.3,5.12,6.4,217,8.1,4.14,11520,0
MQ-065,Prensa,Lima,Noche,0.7943616483977256,3,Críticas,86.0,5.23,7.43,126,2.5,4.02,694,1
MQ-141,Compresor,Lima,Tarde,0.7921253852863653,2,Estándar,78.3,3.96,6.36,194,6.1,1.45,7538,1
MQ-146,Compresor,Arequipa,Mañana,0.7915627614640245,0,Eficientes,79.0,3.32,9.12,189,5.5,1.81,3001,1
MQ-004,Inyectora,Trujillo,Noche,0.7912057860862087,1,Alerta,79.9,5.91,7.42,168,3.2,2.0,9102,0
MQ-172,Empacadora,Trujillo,Mañana,0.7903390541994499,3,Críticas,84.7,6.15,7.64,143,1.7,3.86,5323,1
MQ-153,Compresor,Arequipa,Mañana,0.7898257435951529,3,Críticas,78.5,6.02,6.81,178,2.1,2.32,2400,0
MQ-156,Compresor,Trujillo,Noche,0.78921320712877,3,Críticas,90.8,7.31,6.23,56,0.2,4.6,930,1
MQ-102,Prensa,Arequipa,Tarde,0.7874250392403288,3,Críticas,85.7,3.65,5.93,167,4.3,6.23,1021,1
